model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h,3,3,9,0.21425478,0.021306323,0.4191511,0.19474626,49616,49616,2327,47289
t0_tminus1h,3,9,27,0.2297622,0.028072346,0.44390094,0.21191017,49616,49616,2327,47289
t0_tminus1h,3,25,75,0.2608613,0.06486354,0.5103655,0.26760724,49616,49616,2327,47289
t0_tminus1h,3,49,147,0.28736332,0.1726636,0.6103931,0.37333158,49616,49616,2327,47289
t0_tminus1h,3,81,243,0.30207765,0.31858516,0.7103467,0.4948353,49616,49616,2327,47289
t0_tminus1h,3,121,363,0.30836168,0.4345549,0.78612965,0.5863591,49616,49616,2327,47289
