model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h,3,all_scenes,3,9,0.13847867,0.024398237,0.3031522,0.16078609,49616,49616,49616,0
t0_tminus1h,3,all_scenes,9,27,0.14662927,0.030772658,0.3195248,0.17485452,49616,49616,49616,0
t0_tminus1h,3,all_scenes,25,75,0.16499053,0.06362189,0.36459413,0.21948215,49616,49616,49616,0
t0_tminus1h,3,all_scenes,49,147,0.18272707,0.15205418,0.43491712,0.30752203,49616,49616,49616,0
t0_tminus1h,3,all_scenes,81,243,0.19214503,0.27269343,0.50734353,0.4201574,49616,49616,49616,0
t0_tminus1h,3,all_scenes,121,363,0.19435747,0.3711441,0.56015694,0.5130034,49616,49616,49616,0
