model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h,6,all_scenes,3,9,0.09442866,0.008116256,0.22616726,0.051866584,49616,49616,49616,0
t0_tminus1h,6,all_scenes,9,27,0.099787235,0.00985576,0.23803036,0.056500707,49616,49616,49616,0
t0_tminus1h,6,all_scenes,25,75,0.11163913,0.017813308,0.2709778,0.07237588,49616,49616,49616,0
t0_tminus1h,6,all_scenes,49,147,0.12320955,0.040800877,0.32352784,0.10947567,49616,49616,49616,0
t0_tminus1h,6,all_scenes,81,243,0.13014267,0.08983875,0.38026917,0.17610186,49616,49616,49616,0
t0_tminus1h,6,all_scenes,121,363,0.1327043,0.16282101,0.42547303,0.26355273,49616,49616,49616,0
