model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h,6,3,9,0.18427418,0.0072448477,0.3535157,0.059951637,49616,49616,2054,47562
t0_tminus1h,6,9,27,0.19955008,0.0095178755,0.37535742,0.06529139,49616,49616,2054,47562
t0_tminus1h,6,25,75,0.23061186,0.019496668,0.43511516,0.083272174,49616,49616,2054,47562
t0_tminus1h,6,49,147,0.25750333,0.04570157,0.52903515,0.12246892,49616,49616,2054,47562
t0_tminus1h,6,81,243,0.2734851,0.098734275,0.6302042,0.1858412,49616,49616,2054,47562
t0_tminus1h,6,121,363,0.28143817,0.17199928,0.714918,0.2617029,49616,49616,2054,47562
