model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h,1,3,9,0.29726756,0.29053712,0.5449807,0.59350455,49616,49616,2370,47246
t0_tminus1h,1,9,27,0.31626883,0.36382294,0.575526,0.63565993,49616,49616,2370,47246
t0_tminus1h,1,25,75,0.35109288,0.54013795,0.6529686,0.7210239,49616,49616,2370,47246
t0_tminus1h,1,49,147,0.3724703,0.68746763,0.75687486,0.80834746,49616,49616,2370,47246
t0_tminus1h,1,81,243,0.37469745,0.77972466,0.8417826,0.86989284,49616,49616,2370,47246
t0_tminus1h,1,121,363,0.36968964,0.8336209,0.8907318,0.9049743,49616,49616,2370,47246
