model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
notimefeat,3,3,9,0.21984045,0.02129717,0.32926473,0.19466259,49819,49819,2328,47491
notimefeat,3,9,27,0.24376051,0.028060287,0.35137144,0.21181914,49819,49819,2328,47491
notimefeat,3,25,75,0.29591903,0.06483568,0.41240907,0.2674923,49819,49819,2328,47491
notimefeat,3,49,147,0.34544978,0.17258944,0.50990295,0.3731712,49819,49819,2328,47491
notimefeat,3,81,243,0.3781484,0.3184483,0.6150778,0.4946227,49819,49819,2328,47491
notimefeat,3,121,363,0.3980096,0.4343683,0.700804,0.5861072,49819,49819,2328,47491
