model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
notimefeat,1,3,9,0.2973508,0.29053712,0.49347702,0.59350455,49819,49819,2370,47449
notimefeat,1,9,27,0.31936884,0.36382294,0.5224346,0.63566,49819,49819,2370,47449
notimefeat,1,25,75,0.36240163,0.540138,0.5975268,0.7210239,49819,49819,2370,47449
notimefeat,1,49,147,0.39428714,0.68746763,0.7016537,0.80834746,49819,49819,2370,47449
notimefeat,1,81,243,0.40600783,0.7797246,0.79015374,0.86989284,49819,49819,2370,47449
notimefeat,1,121,363,0.4086862,0.8336209,0.84305793,0.9049743,49819,49819,2370,47449
