model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
notimefeat,6,3,9,0.1770445,0.0072272597,0.28119326,0.059806053,49819,49819,2059,47760
notimefeat,6,9,27,0.19679104,0.00949477,0.30039257,0.06513284,49819,49819,2059,47760
notimefeat,6,25,75,0.24071562,0.019449342,0.35434592,0.08306997,49819,49819,2059,47760
notimefeat,6,49,147,0.28488815,0.04559063,0.44373518,0.122172706,49819,49819,2059,47760
notimefeat,6,81,243,0.31730232,0.09849471,0.54729104,0.18539508,49819,49819,2059,47760
notimefeat,6,121,363,0.3392573,0.17158213,0.6413687,0.26107803,49819,49819,2059,47760
