model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
notimefeat,6,all_scenes,3,9,0.08961811,0.009388214,0.20230277,0.052959956,49819,49819,49819,0
notimefeat,6,all_scenes,9,27,0.095407605,0.011122508,0.21327704,0.057575203,49819,49819,49819,0
notimefeat,6,all_scenes,25,75,0.108637385,0.019056415,0.2440226,0.07338632,49819,49819,49819,0
notimefeat,6,all_scenes,49,147,0.12264139,0.041963577,0.2940548,0.11033953,49819,49819,49819,0
notimefeat,6,all_scenes,81,243,0.13247457,0.09082732,0.35045415,0.17670737,49819,49819,49819,0
notimefeat,6,all_scenes,121,363,0.13770993,0.16354702,0.3980083,0.26382273,49819,49819,49819,0
