lead_time,case_type,window_px,nominal_scale_km,raw_ensemble_mean,raw_member_mean,raw_member_std,raw_persistence,smooth_ensemble_mean,smooth_member_mean,smooth_member_std,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped,raw_seed10,raw_seed20,raw_seed30,raw_seed40,raw_seed50,smooth_seed10,smooth_seed20,smooth_seed30,smooth_seed40,smooth_seed50
6,all_scenes,3,9,0.1066967,0.09065287,0.013179347,0.009388214,0.20667943,0.1854302,0.044274144,0.052959964,49819,49819,49819,0,0.10493794,0.07949143,0.09694972,0.101039164,0.070846066,0.19157228,0.20965274,0.21916561,0.20807964,0.09868075
6,all_scenes,9,27,0.11542628,0.09818594,0.013275866,0.011122507,0.21957403,0.19630648,0.04581795,0.0575752,49819,49819,49819,0,0.11427459,0.08336029,0.10304976,0.108542174,0.08170291,0.20386216,0.21985659,0.23111145,0.22036523,0.10633695
6,all_scenes,25,75,0.1356907,0.11793636,0.015182866,0.019056415,0.25646943,0.22769065,0.049209975,0.07338632,49819,49819,49819,0,0.13734545,0.09150788,0.11693055,0.12665036,0.117247544,0.23973191,0.24749967,0.26469734,0.2558344,0.13068986
6,all_scenes,49,147,0.1565167,0.1435056,0.027093863,0.041963574,0.31896317,0.28133625,0.052258823,0.11033953,49819,49819,49819,0,0.16398858,0.09892901,0.13109389,0.14686884,0.17664772,0.30249056,0.2898914,0.31947702,0.31588638,0.17893606
6,all_scenes,81,243,0.16927363,0.16597965,0.04618783,0.09082732,0.39120778,0.34525803,0.05257963,0.1767074,49819,49819,49819,0,0.18431538,0.102825776,0.1400752,0.16152833,0.24115352,0.37904832,0.33383986,0.3804443,0.38596392,0.24699366
6,all_scenes,121,363,0.17368811,0.18152586,0.06433042,0.16354702,0.45201257,0.40215096,0.051435035,0.26382273,49819,49819,49819,0,0.19623189,0.10340655,0.14377454,0.1695349,0.2946814,0.44832486,0.36693314,0.43052453,0.44681737,0.31815487
