lead_time,case_type,window_px,nominal_scale_km,raw_ensemble_mean,raw_member_mean,raw_member_std,raw_persistence,smooth_ensemble_mean,smooth_member_mean,smooth_member_std,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped,raw_seed10,raw_seed20,raw_seed30,raw_seed40,raw_seed50,smooth_seed10,smooth_seed20,smooth_seed30,smooth_seed40,smooth_seed50
1,all_scenes,3,9,0.25444984,0.23762736,0.0065192245,0.25483382,0.4008436,0.3859473,0.02889225,0.5055033,49819,49819,49819,0,0.23548625,0.24398099,0.2422556,0.22589096,0.24052304,0.3616901,0.4044422,0.35881877,0.43374932,0.37103596
1,all_scenes,9,27,0.27492997,0.25679493,0.008966524,0.30996758,0.42578807,0.40973353,0.029304141,0.5420146,49819,49819,49819,0,0.25591037,0.26235184,0.26451004,0.2397826,0.26141974,0.38471192,0.42869508,0.38235557,0.45807087,0.3948342
1,all_scenes,25,75,0.317426,0.2995199,0.016120601,0.44785458,0.49115556,0.47324452,0.029375147,0.61415565,49819,49819,49819,0,0.3031955,0.30160868,0.3153607,0.2687527,0.308682,0.44708633,0.49215195,0.44627059,0.52165776,0.4590558
1,all_scenes,49,147,0.3478275,0.33454174,0.024584584,0.56566346,0.5878114,0.5680006,0.026556132,0.6888952,49819,49819,49819,0,0.34534204,0.3311851,0.35901824,0.28870234,0.348461,0.54236287,0.58483493,0.54447466,0.611637,0.5566936
1,all_scenes,81,243,0.35384,0.34682363,0.030537335,0.63766617,0.67705756,0.65706295,0.020158798,0.7455487,49819,49819,49819,0,0.36436054,0.33951643,0.37641314,0.2906278,0.36320034,0.6351399,0.67005527,0.6401364,0.6895064,0.6504767
1,all_scenes,121,363,0.34903803,0.34700498,0.03370695,0.6822293,0.73239434,0.71399266,0.01411695,0.7809048,49819,49819,49819,0,0.36917257,0.33825707,0.3786806,0.2851335,0.36378118,0.6964643,0.72409445,0.7029607,0.7353687,0.7110751
