lead_time,case_type,window_px,nominal_scale_km,raw_ensemble_mean,raw_member_mean,raw_member_std,raw_persistence,smooth_ensemble_mean,smooth_member_mean,smooth_member_std,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped,raw_seed10,raw_seed20,raw_seed30,raw_seed40,raw_seed50,smooth_seed10,smooth_seed20,smooth_seed30,smooth_seed40,smooth_seed50
3,all_scenes,3,9,0.13978437,0.12993138,0.014802843,0.026151318,0.28892067,0.27486962,0.00910966,0.16201551,49819,49819,49819,0,0.14464344,0.10214818,0.13448118,0.13920517,0.12917897,0.27151462,0.26307482,0.28959602,0.2799598,0.2702028
3,all_scenes,9,27,0.14893174,0.13843626,0.016934171,0.03250662,0.30549902,0.29029793,0.0099769775,0.17602924,49819,49819,49819,0,0.15601058,0.106894575,0.14261892,0.14901769,0.13763954,0.28831977,0.27580532,0.3053755,0.29625997,0.28572923
3,all_scenes,25,75,0.1684567,0.15757778,0.02243212,0.06526153,0.3510381,0.33314902,0.013510938,0.22048232,49819,49819,49819,0,0.18219213,0.116567865,0.16076697,0.17227249,0.15608941,0.33580637,0.30973974,0.34913078,0.34227493,0.3287933
3,all_scenes,49,147,0.18545717,0.17636701,0.02880621,0.15339948,0.42265043,0.40155894,0.021955134,0.30817613,49819,49819,49819,0,0.20873217,0.12465354,0.17834796,0.19672257,0.17337885,0.4145226,0.36022374,0.41860893,0.41667205,0.3977673
3,all_scenes,81,243,0.19198598,0.1867456,0.033455465,0.27361205,0.4960812,0.47407684,0.034116574,0.42036512,49819,49819,49819,0,0.22444105,0.12747544,0.18796453,0.2119863,0.18186066,0.50169516,0.40913385,0.49187544,0.49672234,0.4709575
3,all_scenes,121,363,0.18960062,0.18892528,0.036258105,0.3717181,0.5471935,0.5279354,0.046140697,0.5128435,49819,49819,49819,0,0.22933432,0.12533486,0.19030304,0.21795195,0.1817022,0.5695519,0.44055828,0.5467652,0.5581479,0.52465373
