model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0,6,all_scenes,3,9,0.09636008,0.0064463797,0.22497904,0.05047363,49271,49271,49271,0
t0,6,all_scenes,9,27,0.10209966,0.008194508,0.23695764,0.055137344,49271,49271,49271,0
t0,6,all_scenes,25,75,0.11481959,0.016187634,0.2702212,0.071115054,49271,49271,49271,0
t0,6,all_scenes,49,147,0.12736124,0.03929503,0.3235762,0.10845658,49271,49271,49271,0
t0,6,all_scenes,81,243,0.13512146,0.08861642,0.38178954,0.17552042,49271,49271,49271,0
t0,6,all_scenes,121,363,0.13833049,0.1620335,0.4287596,0.2635467,49271,49271,49271,0
