model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0,1,3,9,0.34786257,0.29053712,0.46729434,0.59350455,49271,49271,2370,46901
t0,1,9,27,0.38101023,0.36382294,0.49723086,0.63566,49271,49271,2370,46901
t0,1,25,75,0.44692743,0.540138,0.57378507,0.721024,49271,49271,2370,46901
t0,1,49,147,0.49260882,0.6874676,0.6775412,0.80834746,49271,49271,2370,46901
t0,1,81,243,0.50520086,0.77972466,0.7618262,0.86989284,49271,49271,2370,46901
t0,1,121,363,0.5041959,0.8336209,0.8079896,0.90497416,49271,49271,2370,46901
