model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0,6,3,9,0.18516153,0.0072980924,0.34457102,0.060374882,49271,49271,2039,47232
t0,6,9,27,0.20130852,0.009586912,0.36622944,0.06575432,49271,49271,2039,47232
t0,6,25,75,0.23462306,0.01963854,0.4256629,0.08387024,49271,49271,2039,47232
t0,6,49,147,0.2641782,0.0460367,0.51962584,0.12336011,49271,49271,2039,47232
t0,6,81,243,0.2823187,0.09945882,0.6215569,0.18719997,49271,49271,2039,47232
t0,6,121,363,0.2918678,0.1732612,0.70764416,0.263613,49271,49271,2039,47232
