model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0,3,3,9,0.22189933,0.021306321,0.40055254,0.19474624,49271,49271,2327,46944
t0,3,9,27,0.23992102,0.028072346,0.4249012,0.21191017,49271,49271,2327,46944
t0,3,25,75,0.27666652,0.06486355,0.4904737,0.26760724,49271,49271,2327,46944
t0,3,49,147,0.3089587,0.17266358,0.5901483,0.37333158,49271,49271,2327,46944
t0,3,81,243,0.3279546,0.31858516,0.6912547,0.4948353,49271,49271,2327,46944
t0,3,121,363,0.33665252,0.4345549,0.7692896,0.5863591,49271,49271,2327,46944
