model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0,3,all_scenes,3,9,0.14804238,0.02233921,0.29977697,0.15958884,49271,49271,49271,0
t0,3,all_scenes,9,27,0.15788025,0.02874102,0.31668517,0.17374583,49271,49271,49271,0
t0,3,all_scenes,25,75,0.1801316,0.06175838,0.3631816,0.21866263,49271,49271,49271,0
t0,3,all_scenes,49,147,0.2019592,0.1506964,0.43665558,0.30728248,49271,49271,49271,0
t0,3,all_scenes,81,243,0.2140506,0.2720508,0.5133877,0.42066976,49271,49271,49271,0
t0,3,all_scenes,121,363,0.21744905,0.37105978,0.5698804,0.5141373,49271,49271,49271,0
