model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0,1,all_scenes,3,9,0.2825925,0.25259116,0.45887586,0.5056248,49271,49271,49271,0
t0,1,all_scenes,9,27,0.30283132,0.30825973,0.4864464,0.5424962,49271,49271,49271,0
t0,1,all_scenes,25,75,0.34225896,0.44746268,0.5549677,0.6153734,49271,49271,49271,0
t0,1,all_scenes,49,147,0.36321965,0.5663378,0.64674795,0.69089115,49271,49271,49271,0
t0,1,all_scenes,81,243,0.3598889,0.6389085,0.721724,0.74812573,49271,49271,49271,0
t0,1,all_scenes,121,363,0.35122785,0.6837345,0.7644787,0.78384113,49271,49271,49271,0
