model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h_tminus2h,1,3,9,0.3070782,0.29053712,0.5129269,0.59350455,49790,49790,2370,47420
t0_tminus1h_tminus2h,1,9,27,0.32935193,0.36382294,0.5430948,0.63566,49790,49790,2370,47420
t0_tminus1h_tminus2h,1,25,75,0.37226927,0.540138,0.6205526,0.7210239,49790,49790,2370,47420
t0_tminus1h_tminus2h,1,49,147,0.4020474,0.6874676,0.72652555,0.80834746,49790,49790,2370,47420
t0_tminus1h_tminus2h,1,81,243,0.40991658,0.77972466,0.8151028,0.86989284,49790,49790,2370,47420
t0_tminus1h_tminus2h,1,121,363,0.4081175,0.83362085,0.86677337,0.90497416,49790,49790,2370,47420
