model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h_tminus2h,3,3,9,0.21250507,0.021297174,0.41667756,0.19466259,49790,49790,2328,47462
t0_tminus1h_tminus2h,3,9,27,0.22797601,0.028060287,0.44138214,0.21181916,49790,49790,2328,47462
t0_tminus1h_tminus2h,3,25,75,0.25901824,0.06483568,0.50781995,0.2674923,49790,49790,2328,47462
t0_tminus1h_tminus2h,3,49,147,0.28554457,0.17258944,0.60812736,0.3731712,49790,49790,2328,47462
t0_tminus1h_tminus2h,3,81,243,0.30039254,0.3184483,0.70885915,0.4946227,49790,49790,2328,47462
t0_tminus1h_tminus2h,3,121,363,0.30681276,0.43436828,0.78576577,0.5861072,49790,49790,2328,47462
