model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
t0_tminus1h_tminus2h,6,3,9,0.18386324,0.007230771,0.3577648,0.059835114,49790,49790,2058,47732
t0_tminus1h_tminus2h,6,9,27,0.19868895,0.009499383,0.37968576,0.06516449,49790,49790,2058,47732
t0_tminus1h_tminus2h,6,25,75,0.22862257,0.019458791,0.43953753,0.08311034,49790,49790,2058,47732
t0_tminus1h_tminus2h,6,49,147,0.25452918,0.04561278,0.5333191,0.122232065,49790,49790,2058,47732
t0_tminus1h_tminus2h,6,81,243,0.2700224,0.09854257,0.6339892,0.18548515,49790,49790,2058,47732
t0_tminus1h_tminus2h,6,121,363,0.27778053,0.1716655,0.7181553,0.2612049,49790,49790,2058,47732
