model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
noattention,1,3,9,0.23128569,0.29053712,0.372554,0.59350455,49977,49977,2370,47607
noattention,1,9,27,0.25575265,0.36382294,0.39719188,0.63566,49977,49977,2370,47607
noattention,1,25,75,0.30856326,0.54013795,0.46487162,0.7210239,49977,49977,2370,47607
noattention,1,49,147,0.35843867,0.6874676,0.5723026,0.80834746,49977,49977,2370,47607
noattention,1,81,243,0.3906354,0.77972466,0.6867684,0.86989284,49977,49977,2370,47607
noattention,1,121,363,0.40627348,0.8336209,0.7763306,0.90497416,49977,49977,2370,47607
