model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
noattention,6,3,9,0.17942873,0.0072202487,0.28001434,0.05974802,49977,49977,2061,47916
noattention,6,9,27,0.20061685,0.009485561,0.29938602,0.06506964,49977,49977,2061,47916
noattention,6,25,75,0.2477777,0.019430479,0.35393313,0.082989365,49977,49977,2061,47916
noattention,6,49,147,0.29424077,0.04554642,0.4447162,0.122054145,49977,49977,2061,47916
noattention,6,81,243,0.32651973,0.0983992,0.5505303,0.18521516,49977,49977,2061,47916
noattention,6,121,363,0.34565735,0.17141578,0.64659184,0.26082468,49977,49977,2061,47916
