model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
noattention,3,all_scenes,3,9,0.122476004,0.027950404,0.23555666,0.16342281,49977,49977,49977,0
noattention,3,all_scenes,9,27,0.13280621,0.034286004,0.25026792,0.17739475,49977,49977,49977,0
noattention,3,all_scenes,25,75,0.15720877,0.066941865,0.29240426,0.2217159,49977,49977,49977,0
noattention,3,all_scenes,49,147,0.18359181,0.15482537,0.36438757,0.30915228,49977,49977,49977,0
noattention,3,all_scenes,81,243,0.20195307,0.27468422,0.44843143,0.42101082,49977,49977,49977,0
noattention,3,all_scenes,121,363,0.21059793,0.37249842,0.51922953,0.5132124,49977,49977,49977,0
