model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
noattention,3,3,9,0.20088492,0.021297172,0.3207756,0.1946626,49977,49977,2328,47649
noattention,3,9,27,0.2232859,0.028060287,0.3425233,0.21181914,49977,49977,2328,47649
noattention,3,25,75,0.27239957,0.06483568,0.4029579,0.2674923,49977,49977,2328,47649
noattention,3,49,147,0.32019186,0.17258944,0.5009407,0.3731712,49977,49977,2328,47649
noattention,3,81,243,0.35312796,0.3184483,0.6100828,0.4946227,49977,49977,2328,47649
noattention,3,121,363,0.3721518,0.43436828,0.7039886,0.5861072,49977,49977,2328,47649
