model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
noattention,6,all_scenes,3,9,0.092535675,0.010559124,0.18260828,0.054000285,49977,49977,49977,0
noattention,6,all_scenes,9,27,0.100479275,0.012288025,0.19406813,0.0586016,49977,49977,49977,0
noattention,6,all_scenes,25,75,0.119432315,0.020198086,0.22722463,0.074364185,49977,49977,49977,0
noattention,6,all_scenes,49,147,0.140476,0.04303651,0.2849033,0.11120494,49977,49977,49977,0
noattention,6,all_scenes,81,243,0.1561286,0.09175821,0.35489872,0.17737563,49977,49977,49977,0
noattention,6,all_scenes,121,363,0.16485944,0.1642688,0.41821676,0.2642329,49977,49977,49977,0
