model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,raw_nflics,smooth_model,smooth_persistence,smooth_nflics,n_files_total,n_files_loaded,n_files_missing_nflics,n_cases_used,n_cases_skipped
ncast-nflics,6,all_scenes,3,9,0.101660095,0.009372801,0.077073574,0.2077737,0.052925058,0.1705604,48205,48205,0,48205,0
ncast-nflics,6,all_scenes,9,27,0.10949629,0.0110966945,0.083107814,0.22023734,0.057537522,0.18126047,48205,48205,0,48205,0
ncast-nflics,6,all_scenes,25,75,0.12773891,0.018973028,0.0971387,0.25570485,0.07335314,0.2120437,48205,48205,0,48205,0
ncast-nflics,6,all_scenes,49,147,0.14696743,0.04183368,0.11215443,0.31551695,0.11031535,0.26450056,48205,48205,0,48205,0
ncast-nflics,6,all_scenes,81,243,0.16003883,0.090732634,0.12271111,0.38496524,0.17669244,0.32627928,48205,48205,0,48205,0
ncast-nflics,6,all_scenes,121,363,0.16658461,0.16356677,0.12818523,0.44482464,0.26385316,0.3807771,48205,48205,0,48205,0
