model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,raw_nflics,smooth_model,smooth_persistence,smooth_nflics,n_files_total,n_files_loaded,n_files_missing_nflics,n_cases_used,n_cases_skipped
ncast-nflics,3,all_scenes,3,9,0.13958725,0.026293252,0.08343115,0.29082075,0.16226248,0.19923756,48205,48205,0,48205,0
ncast-nflics,3,all_scenes,9,27,0.14866893,0.032676827,0.08902802,0.30722836,0.17629012,0.21080388,48205,48205,0,48205,0
ncast-nflics,3,all_scenes,25,75,0.16932827,0.06546843,0.1016833,0.35285825,0.22075729,0.24337208,48205,48205,0,48205,0
ncast-nflics,3,all_scenes,49,147,0.18978722,0.15362898,0.11461061,0.42582643,0.308436,0.2967182,48205,48205,0,48205,0
ncast-nflics,3,all_scenes,81,243,0.20145524,0.27384666,0.122920096,0.503361,0.420602,0.3562714,48205,48205,0,48205,0
ncast-nflics,3,all_scenes,121,363,0.20503975,0.3719605,0.12630638,0.5619008,0.5131002,0.40524486,48205,48205,0,48205,0
