model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,raw_nflics,smooth_model,smooth_persistence,smooth_nflics,n_files_total,n_files_loaded,n_files_missing_nflics,n_cases_used,n_cases_skipped
ncast-nflics,1,all_scenes,3,9,0.24837446,0.2544172,0.08696854,0.39088657,0.5054614,0.2279527,48205,48205,0,48205,0
ncast-nflics,1,all_scenes,9,27,0.26900998,0.30952686,0.09193664,0.41550323,0.5419783,0.24014048,48205,48205,0,48205,0
ncast-nflics,1,all_scenes,25,75,0.31442532,0.44751656,0.10285562,0.4802745,0.6141244,0.2736099,48205,48205,0,48205,0
ncast-nflics,1,all_scenes,49,147,0.350454,0.5654774,0.11347798,0.57521874,0.6888446,0.32585788,48205,48205,0,48205,0
ncast-nflics,1,all_scenes,81,243,0.36269465,0.63754135,0.119595796,0.6623238,0.74545455,0.38013816,48205,48205,0,48205,0
ncast-nflics,1,all_scenes,121,363,0.363242,0.6821206,0.12122788,0.71687955,0.78077126,0.42092434,48205,48205,0,48205,0
