model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
base,1,all_scenes,3,9,0.2483413,0.2548338,0.39062503,0.50550324,49819,49819,49819,0
base,1,all_scenes,9,27,0.26898497,0.30996755,0.41522157,0.5420146,49819,49819,49819,0
base,1,all_scenes,25,75,0.3144577,0.44785455,0.47994733,0.61415565,49819,49819,49819,0
base,1,all_scenes,49,147,0.35059828,0.5656634,0.5748422,0.6888953,49819,49819,49819,0
base,1,all_scenes,81,243,0.36294487,0.63766617,0.6619753,0.7455487,49819,49819,49819,0
base,1,all_scenes,121,363,0.3635476,0.6822293,0.71661633,0.78090495,49819,49819,49819,0
