model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
base,1,3,9,0.31502512,0.29053712,0.43400416,0.59350455,49819,49819,2370,47449
base,1,9,27,0.34600845,0.36382294,0.46211982,0.63566,49819,49819,2370,47449
base,1,25,75,0.4111149,0.54013795,0.53551704,0.7210239,49819,49819,2370,47449
base,1,49,147,0.46523374,0.6874676,0.6385147,0.80834746,49819,49819,2370,47449
base,1,81,243,0.49091086,0.7797247,0.7270567,0.86989284,49819,49819,2370,47449
base,1,121,363,0.4994593,0.8336209,0.7790408,0.9049743,49819,49819,2370,47449
