model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
base,3,3,9,0.21805517,0.02129717,0.4004846,0.19466259,49819,49819,2328,47491
base,3,9,27,0.23571332,0.028060291,0.42484143,0.21181916,49819,49819,2328,47491
base,3,25,75,0.27174473,0.06483568,0.4905339,0.2674923,49819,49819,2328,47491
base,3,49,147,0.30299786,0.17258944,0.5903283,0.3731712,49819,49819,2328,47491
base,3,81,243,0.32069424,0.3184483,0.6914086,0.4946227,49819,49819,2328,47491
base,3,121,363,0.328679,0.43436828,0.7692375,0.5861072,49819,49819,2328,47491
