model_name,lead_time,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
base,6,3,9,0.1888603,0.0072272597,0.3066646,0.059806053,49819,49819,2059,47760
base,6,9,27,0.20939465,0.009494769,0.32732394,0.06513284,49819,49819,2059,47760
base,6,25,75,0.25406578,0.019449342,0.38483024,0.08306997,49819,49819,2059,47760
base,6,49,147,0.29642928,0.04559063,0.47852552,0.1221727,49819,49819,2059,47760
base,6,81,243,0.3245294,0.098494716,0.5845119,0.18539508,49819,49819,2059,47760
base,6,121,363,0.3407587,0.17158215,0.67782485,0.26107806,49819,49819,2059,47760
