model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
base,6,all_scenes,3,9,0.1012679,0.009388215,0.2070289,0.052959964,49819,49819,49819,0
base,6,all_scenes,9,27,0.10907788,0.011122507,0.21946009,0.05757521,49819,49819,49819,0
base,6,all_scenes,25,75,0.12724392,0.019056415,0.25485134,0.07338632,49819,49819,49819,0
base,6,all_scenes,49,147,0.14637852,0.041963574,0.31458834,0.110339515,49819,49819,49819,0
base,6,all_scenes,81,243,0.15939869,0.09082733,0.3839871,0.1767074,49819,49819,49819,0
base,6,all_scenes,121,363,0.16592813,0.16354702,0.44380087,0.26382276,49819,49819,49819,0
