model_name,lead_time,case_type,window_px,nominal_scale_km,raw_model,raw_persistence,smooth_model,smooth_persistence,n_files_total,n_files_loaded,n_cases_used,n_cases_skipped
base,3,all_scenes,3,9,0.13940553,0.026151316,0.2903438,0.16201551,49819,49819,49819,0
base,3,all_scenes,9,27,0.14846751,0.03250662,0.30672863,0.17602922,49819,49819,49819,0
base,3,all_scenes,25,75,0.16906594,0.06526153,0.35230386,0.22048235,49819,49819,49819,0
base,3,all_scenes,49,147,0.18945022,0.1533995,0.42523775,0.30817613,49819,49819,49819,0
base,3,all_scenes,81,243,0.20107651,0.27361205,0.50282544,0.42036512,49819,49819,49819,0
base,3,all_scenes,121,363,0.20466271,0.37171817,0.56149167,0.5128435,49819,49819,49819,0
